liga,temporada,equipo,id,nombre,posicion,dorsal,Appearances,Carries,Duels,Duels lost,Final Third Touches,Forward Passes,Games Played,Goals Conceded,Goals Conceded Outside Box,Ground Duels,Ground Duels lost,Handballs conceded,Index,Leftside Passes,Open Play Passes,Progressive Carries,PutThrough/Blocked Distribution,Recoveries,Rightside Passes,Starts,Substitute On,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Throw Ins to Opposition Player,Throw Ins to Own Player,Time Played,Total Fouls Conceded,Total Losses Of Possession,Total Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Yellow Cards,Winning Goal,Aerial Duels,Aerial Duels lost,Backward Passes,Duels won,Ground Duels won,Interceptions,Key Passes (Attempt Assists),PutThrough/Blocked Distribution Won,Substitute Off,Successful Dribbles,Successful Lay-offs,Successful Long Passes,Tackles Won,Total Big Chances Created,Total Clearances,Total Fouls Won,Total Tackles,Unsuccessful lay-offs,Aerial Duels won,Clean Sheets,Foul Attempted Tackle,Shots On Target ( inc goals ),Successful Launches,Tackles Lost,Times Tackled,Total Shots,Total Touches In Opposition Box,Blocks,Shots Off Target (inc woodwork),Total Big Chances Missed,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Dribbles,Successful Crosses & Corners,Successful Crosses open play,GK Successful Distribution,GK Unsuccessful Distribution,Goal Kicks,Saves Made,Saves Made from Outside Box,Saves made - parried,Corners Won,Goals,Goals Openplay,Goals from Inside Box,Right Foot Goals,Through balls,Home Goals,Away Goals,Blocked Shots,Goal Assists,Assists (Intentional),Attempts from Set Pieces,Corners Taken (incl short corners),Offsides,Successful Corners into Box,Goals Conceded Inside Box,Overruns,Total Big Chances Saved,Total Big Chances Scored,Hit Woodwork,Penalty Goals Conceded,Unsuccessful Corners into Box,Headed Goals,Left Foot Goals,Catches,Drops,Punches,Saves Made from Inside Box,Saves made - caught,Penalties Taken,Penalty Goals,Last Player Tackle,Foul Won Penalty,Penalties Faced,Straight Red Cards,Total Red Cards,Penalties Conceded,Goalkeeper Smother,Clearances Off the Line,Penalties Saved,Saves from Penalty,Goals from Outside Box,Second Goal Assists,Direct Setpiece Goals,Set Pieces Goals,Red Cards - 2nd Yellow,Own Goal Scored,Penalties Off Target,Other Goals
Spain_Copa_del_Rey,2025-2026,Real Madrid CF,6crmq7vzqts58wg196q48sc7p,T. Courtois,Goalkeeper,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Copa_del_Rey,2025-2026,Real Madrid CF,3jln1gzc0859ymphvq83i0mp5,Brahim Díaz,Midfielder,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Copa_del_Rey,2025-2026,Real Madrid CF,14qv8npo5alwnb5dud8x82ln8,Endrick,Forward,9,1.0,12.0,9.0,4.0,20.0,6.0,1.0,,,9.0,4.0,,10.0,9.0,21.0,11.0,1.0,1.0,4.0,1.0,,17.0,16.0,2.0,15.0,,,77.0,2.0,6.0,21.0,17.0,4.0,35.0,1.0,1.0,3.0,1.0,3.0,,0.0,,,2.0,5.0,5.0,,2.0,1.0,1.0,1.0,,2.0,,2.0,,4.0,,,,,2.0,1.0,,,2.0,2.0,4.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,2.0,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Copa_del_Rey,2025-2026,Real Madrid CF,8knybibneen7qx8jdg9voh7v8,Jesús Fortea,Defender,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Copa_del_Rey,2025-2026,Real Madrid CF,39c5g6782qlrtw55fsre7exnt,Fran García,Defender,20,2.0,22.0,10.0,6.0,69.0,24.0,2.0,3.0,,8.0,5.0,,10.0,12.0,115.0,16.0,4.0,13.0,47.0,2.0,,107.0,70.0,40.0,106.0,1.0,11.0,155.0,1.0,27.0,116.0,108.0,8.0,160.0,1.0,1.0,15.0,3.0,7.0,,0.0,2.0,1.0,33.0,4.0,3.0,2.0,3.0,1.0,1.0,,1.0,2.0,1.0,,4.0,2.0,1.0,,1.0,,1.0,,,,3.0,,6.0,,,,10.0,10.0,1.0,2.0,2.0,,,,,,,3.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Copa_del_Rey,2025-2026,Real Madrid CF,4o9d3hpjlicgce9gtbewyzhn8,Gonzalo García,Forward,16,2.0,5.0,15.0,7.0,30.0,12.0,2.0,5.0,,4.0,3.0,,10.0,8.0,39.0,2.0,,4.0,12.0,2.0,,33.0,24.0,13.0,37.0,,1.0,180.0,,15.0,43.0,37.0,6.0,67.0,1.0,1.0,5.0,1.0,5.0,,0.0,11.0,4.0,11.0,8.0,1.0,2.0,1.0,,,,2.0,,,,3.0,,1.0,1.0,7.0,,,2.0,,1.0,3.0,4.0,9.0,,2.0,2.0,,,1.0,,,,,,,,,1.0,1.0,,1.0,,,0.0,1.0,1.0,,,,,1.0,,5.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Copa_del_Rey,2025-2026,Real Madrid CF,42mke5h9m4g7idv9q6ltuhkwk,Fran González,Goalkeeper,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Copa_del_Rey,2025-2026,Real Madrid CF,39gif4xfy8xddarasbsad56ok,A. Güler,Midfielder,15,2.0,45.0,12.0,6.0,101.0,49.0,2.0,3.0,,11.0,6.0,,10.0,41.0,142.0,25.0,5.0,5.0,37.0,2.0,,130.0,113.0,33.0,128.0,,3.0,167.0,2.0,35.0,153.0,141.0,12.0,201.0,,1.0,30.0,,11.0,,0.0,1.0,,26.0,6.0,5.0,,6.0,2.0,1.0,1.0,1.0,13.0,1.0,4.0,,2.0,2.0,,1.0,,,2.0,,1.0,3.0,4.0,9.0,1.0,2.0,,18.0,7.0,,5.0,1.0,,,,,,,7.0,,,,,2.0,,,3.0,1.0,1.0,3.0,21.0,,3.0,3.0,1.0,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Copa_del_Rey,2025-2026,Real Madrid CF,d2hnxi1yi5rgqj1tvxh1813x0,Dean Huijsen,Defender,24,2.0,49.0,13.0,5.0,30.0,71.0,2.0,3.0,,7.0,3.0,,10.0,48.0,173.0,34.0,,5.0,54.0,2.0,,162.0,91.0,74.0,147.0,,1.0,155.0,3.0,15.0,175.0,164.0,11.0,203.0,2.0,6.0,10.0,3.0,5.0,1.0,0.0,6.0,2.0,2.0,8.0,4.0,1.0,1.0,,1.0,,,17.0,3.0,,11.0,1.0,3.0,,4.0,,2.0,1.0,2.0,,,1.0,4.0,1.0,,1.0,2.0,2.0,,1.0,1.0,1.0,,1.0,,,,,,,,,2.0,,,2.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Copa_del_Rey,2025-2026,Real Madrid CF,9650u1owvf264fwnuzc0zlfro,David Jiménez,Defender,35,2.0,11.0,10.0,7.0,64.0,16.0,2.0,3.0,,7.0,4.0,,10.0,42.0,117.0,5.0,1.0,5.0,10.0,2.0,,112.0,75.0,39.0,112.0,2.0,12.0,167.0,2.0,13.0,117.0,112.0,5.0,149.0,1.0,1.0,8.0,2.0,4.0,,0.0,3.0,3.0,49.0,3.0,3.0,1.0,2.0,,1.0,,,,,,,2.0,1.0,,,,2.0,1.0,,1.0,,1.0,2.0,,,1.0,5.0,5.0,,2.0,2.0,,,,,,,2.0,,,,,,,,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Copa_del_Rey,2025-2026,Real Madrid CF,3jzkkcd5ysauxk07bli7ic2l0,Ávaro Leiva,Midfielder,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Copa_del_Rey,2025-2026,Real Madrid CF,38bp85766w04a0nuulq5fiig9,A. Lunin,Goalkeeper,13,2.0,5.0,3.0,1.0,,18.0,2.0,5.0,,,,,10.0,19.0,33.0,3.0,,10.0,14.0,2.0,,31.0,1.0,47.0,45.0,,,180.0,,3.0,51.0,48.0,3.0,67.0,1.0,3.0,2.0,1.0,,,0.0,3.0,1.0,,2.0,,,,,,,,3.0,,,2.0,,,,2.0,,,,1.0,,,,,,,,,,,,,18.0,1.0,12.0,5.0,2.0,4.0,,,,,,,,,,,,,,,,5.0,,,,,,,,,2.0,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,
Spain_Copa_del_Rey,2025-2026,Real Madrid CF,4aihdtm9m5evl5ohlx54ccs9g,Joan Martínez,Defender,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Copa_del_Rey,2025-2026,Real Madrid CF,1fkntyd2z8e169yh98k0zst90,F. Mastantuono,Forward,30,2.0,24.0,22.0,15.0,61.0,5.0,2.0,1.0,,16.0,9.0,1.0,10.0,29.0,63.0,9.0,4.0,5.0,6.0,2.0,,53.0,41.0,13.0,52.0,,1.0,143.0,2.0,24.0,64.0,54.0,10.0,95.0,,1.0,9.0,3.0,9.0,,0.0,6.0,6.0,24.0,7.0,7.0,,,2.0,2.0,2.0,2.0,2.0,1.0,,,3.0,2.0,,,,,1.0,,1.0,8.0,2.0,11.0,,1.0,,2.0,2.0,4.0,,,,,,,,,1.0,1.0,,1.0,,,0.0,1.0,1.0,,,1.0,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Copa_del_Rey,2025-2026,Real Madrid CF,5e9ilgrz3tzg9kd1gk3yvrahh,K. Mbappé,Forward,10,1.0,11.0,4.0,4.0,42.0,12.0,1.0,2.0,,4.0,4.0,,10.0,2.0,37.0,4.0,,1.0,21.0,1.0,,30.0,28.0,4.0,27.0,,1.0,90.0,,16.0,39.0,32.0,7.0,57.0,,1.0,7.0,1.0,6.0,,1.0,,,4.0,,,,2.0,,,,2.0,5.0,,,,,,,,,,4.0,,,3.0,6.0,7.0,,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,2.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,,,1.0,,,,2.0,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,
Spain_Copa_del_Rey,2025-2026,Real Madrid CF,6q69l3ppqfqbryjubcrujfi6t,F. Mendy,Defender,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Copa_del_Rey,2025-2026,Real Madrid CF,3krfyio6dlb6gkoggsmqwkj6c,Sergio Mestre,Goalkeeper,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Copa_del_Rey,2025-2026,Real Madrid CF,587fw0wi1ke5kv6tdnyx78xec,Javier Navarro,Goalkeeper,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Copa_del_Rey,2025-2026,Real Madrid CF,3r4r3w44ski0d4175zfe1iy38,César Palacios,Midfielder,38,1.0,3.0,,,4.0,1.0,1.0,2.0,,,,,10.0,2.0,5.0,2.0,,1.0,2.0,,1.0,4.0,2.0,3.0,5.0,,,13.0,,2.0,6.0,5.0,1.0,8.0,,,1.0,,1.0,,0.0,,,1.0,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Copa_del_Rey,2025-2026,Real Madrid CF,9ksawmk9ligul6vfjihf50r8,Thiago Pitarch,Midfielder,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Copa_del_Rey,2025-2026,Real Madrid CF,broq8imimhtlejtffissquy5m,Rodrygo,Forward,11,1.0,5.0,4.0,2.0,6.0,1.0,1.0,2.0,,4.0,2.0,,10.0,2.0,6.0,4.0,,,1.0,,1.0,5.0,2.0,3.0,5.0,,,24.0,,3.0,6.0,5.0,1.0,10.0,,,1.0,,1.0,,0.0,,,2.0,2.0,2.0,,,,,1.0,,,,,,1.0,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Copa_del_Rey,2025-2026,Real Madrid CF,6fzbp94hf19ysotdassrqdc5x,A. Rüdiger,Defender,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Copa_del_Rey,2025-2026,Real Madrid CF,aipyotc87m5bdvmvizd5n69k9,A. Tchouaméni,Midfielder,14,1.0,,1.0,1.0,1.0,2.0,1.0,2.0,,,,,10.0,2.0,8.0,,,,4.0,,1.0,6.0,1.0,5.0,6.0,,,13.0,,2.0,8.0,6.0,2.0,8.0,1.0,2.0,2.0,,,,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Copa_del_Rey,2025-2026,Real Madrid CF,3pxte13sf3ybzb3cgvim1tqtw,Valde,Defender,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Copa_del_Rey,2025-2026,Real Madrid CF,1i9wi65k2foqwudeqiyih87hl,F. Valverde,Midfielder,8,1.0,14.0,2.0,2.0,28.0,28.0,1.0,3.0,,2.0,2.0,,10.0,19.0,85.0,8.0,,4.0,29.0,1.0,,80.0,56.0,24.0,68.0,,2.0,90.0,1.0,7.0,85.0,80.0,5.0,94.0,,1.0,5.0,1.0,4.0,,0.0,,,9.0,,,,1.0,,,,1.0,12.0,,,,,,,,,1.0,1.0,2.0,,,2.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Copa_del_Rey,2025-2026,Real Madrid CF,b4witgokm49tidm1a83qcvbop,Vinícius Júnior,Forward,7,1.0,26.0,15.0,8.0,44.0,14.0,1.0,3.0,,15.0,8.0,,10.0,4.0,51.0,13.0,2.0,2.0,26.0,1.0,,40.0,37.0,5.0,35.0,,1.0,90.0,,23.0,52.0,41.0,11.0,79.0,,1.0,12.0,1.0,10.0,,0.0,,,8.0,7.0,7.0,,2.0,,,4.0,1.0,6.0,,,,3.0,,,,,,1.0,,,8.0,3.0,7.0,,2.0,,2.0,2.0,6.0,1.0,1.0,,,,,,,3.0,,,,,,,,,,,,1.0,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Copa_del_Rey,2025-2026,Real Madrid CF,2spn42sn73gxwyt6ucobiknl6,Manuel Ángel,Midfielder,37,1.0,2.0,1.0,,1.0,,1.0,1.0,,,,,10.0,1.0,3.0,,,,2.0,,1.0,3.0,1.0,2.0,3.0,,,4.0,,,3.0,3.0,,4.0,,,,,,,0.0,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Copa_del_Rey,2025-2026,Real Madrid CF,8wvkrrbqqthuwda8twg03yuax,Éder Militão,Defender,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
